Time(0.1s),J2_Torque(Nm),J3_Torque(Nm)
88.8,191.0000,-186.0000
88.9,191.0000,-186.0000
89.0,191.0000,-186.0000
89.1,191.0000,-186.0000
89.3,191.0000,-186.0000
89.3,191.0000,-186.0000
89.4,191.0000,-186.0000
89.5,191.0000,-186.0000
89.6,191.0000,-186.0000
89.7,191.0000,-186.0000
89.8,191.0000,-186.0000
89.9,191.0000,-186.0000
90.0,191.0000,-186.0000
90.1,191.0000,-186.0000
90.2,191.0000,-186.0000
90.4,191.0000,-186.0000
90.5,191.0000,-186.0000
90.5,191.0000,-186.0000
90.6,191.0000,-186.0000
90.7,191.0000,-186.0000
90.9,191.0000,-186.0000
91.0,191.0000,-186.0000
91.0,191.0000,-186.0000
91.1,191.0000,-186.0000
91.2,191.0000,-186.0000
91.4,191.0000,-186.0000
91.5,191.0000,-186.0000
91.6,191.0000,-186.0000
91.7,191.0000,-186.0000
91.7,191.0000,-186.0000
91.9,191.0000,-186.0000
92.0,191.0000,-186.0000
92.0,191.0000,-186.0000
92.1,191.0000,-186.0000
92.2,191.0000,-186.0000
92.3,191.0000,-186.0000
92.4,191.0000,-186.0000
92.5,191.0000,-186.0000
92.6,191.0000,-186.0000
